"Id","GameId","Offense","OffenseConference","Defense","DefenseConference","DriveNumber","Scoring","StartPeriod","StartYardline","StartYardsToGoal","StartTime Minutes","StartTime Seconds","EndPeriod","EndYardline","EndYardsToGoal","EndTime Minutes","EndTime Seconds","Plays","Yards","DriveResult","IsHomeOffense","StartOffenseScore","StartDefenseScore","EndOffenseScore","EndDefenseScore"
"4015201451","401520145","Jacksonville State","Conference USA","UTEP","Conference USA","1","false","1","25","75","15","0","1","33","67","12","37","5","8","PUNT","true","0","0","0","0"
"4015201452","401520145","UTEP","Conference USA","Jacksonville State","Conference USA","2","false","1","95","95","12","37","1","53","53","8","0","9","42","DOWNS","false","0","0","0","0"
"4015201453","401520145","Jacksonville State","Conference USA","UTEP","Conference USA","3","true","1","53","47","8","0","1","77","23","4","57","10","24","FG","true","0","0","3","0"
"4015201454","401520145","UTEP","Conference USA","Jacksonville State","Conference USA","4","false","1","75","75","4","57","1","58","58","2","6","5","17","PUNT","false","0","3","0","3"
"4015201455","401520145","Jacksonville State","Conference USA","UTEP","Conference USA","5","true","1","20","80","2","6","2","100","0","13","26","12","80","TD","true","3","0","10","0"
"4015201456","401520145","UTEP","Conference USA","Jacksonville State","Conference USA","6","false","2","75","75","13","26","2","26","26","6","26","12","49","MISSED FG","false","0","10","0","10"
"4015201457","401520145","Jacksonville State","Conference USA","UTEP","Conference USA","7","false","2","26","74","6","26","2","27","73","5","24","3","1","PUNT","true","10","0","10","0"
"4015201458","401520145","UTEP","Conference USA","Jacksonville State","Conference USA","8","false","2","71","71","5","24","2","39","39","2","24","5","32","FUMBLE","false","0","10","0","10"
"4015201459","401520145","Jacksonville State","Conference USA","UTEP","Conference USA","9","false","2","39","61","2","24","2","46","54","1","31","3","7","PUNT","true","10","0","10","0"
"40152014510","401520145","UTEP","Conference USA","Jacksonville State","Conference USA","10","true","2","74","74","1","31","2","0","0","0","0","9","74","TD","false","0","10","7","10"
"40152014511","401520145","UTEP","Conference USA","Jacksonville State","Conference USA","11","false","3","75","75","15","0","3","52","52","12","55","4","23","INT","false","7","10","7","10"
"40152014512","401520145","Jacksonville State","Conference USA","UTEP","Conference USA","12","false","3","41","59","12","55","3","70","30","10","34","6","29","DOWNS","true","10","7","10","7"
"40152014513","401520145","UTEP","Conference USA","Jacksonville State","Conference USA","13","false","3","70","70","10","34","3","67","67","9","0","3","3","PUNT","false","7","10","7","10"
"40152014514","401520145","Jacksonville State","Conference USA","UTEP","Conference USA","14","true","3","34","66","9","0","3","100","0","7","47","3","66","TD","true","10","7","17","7"
"40152014515","401520145","UTEP","Conference USA","Jacksonville State","Conference USA","15","false","3","75","75","7","47","3","69","69","6","44","3","6","PUNT","false","7","17","7","17"
"40152014516","401520145","Jacksonville State","Conference USA","UTEP","Conference USA","16","false","3","14","86","6","44","3","74","26","1","21","13","60","MISSED FG","true","17","7","17","7"
"40152014517","401520145","UTEP","Conference USA","Jacksonville State","Conference USA","17","true","3","74","74","1","21","4","0","0","12","19","8","74","TD","false","7","17","14","17"
"40152014518","401520145","Jacksonville State","Conference USA","UTEP","Conference USA","18","false","4","25","75","12","19","4","46","54","10","4","6","21","PUNT","true","17","14","17","14"
"40152014519","401520145","UTEP","Conference USA","Jacksonville State","Conference USA","19","false","4","86","86","10","4","4","69","69","6","35","6","17","PUNT","false","14","17","14","17"
